Park,may15 total,may16 total,month diff,ytd15 total,ytd16 total,ytd diff
Kaloko Honokohau NHP,13191,13191,0,69804,85061,15257
Katmai NP & PRES,100,100,0,500,500,0
Kenai Fjords NP,27483,27483,0,27544,27804,260
Kennesaw Mountain NBP,251730,251730,0,859546,910757,51211
Kings Canyon NP,55976,55976,0,134429,132859,-1570
Kings Mountain NMP,23790,23790,0,93815,94885,1070
Klondike Gold Rush NHP Alaska,126943,126943,0,127178,127020,-158
Klondike Gold Rush NHP Seattle,6679,6679,0,18034,15145,-2889
Knife River Indian Villages NHS,898,898,0,1450,1723,273
Korean War Veterans Memorial,555733,555733,0,1637461,1648416,10955
Lake Chelan NRA,4578,4578,0,8977,10827,1850
Lake Clark NP & PRES,502,502,0,1377,1377,0
Lake Mead NRA,712654,712654,0,2936796,2912388,-24408
Lake Meredith NRA,54632,54632,0,245990,310983,64993
Lake Roosevelt NRA,73263,73263,0,270433,304354,33921
Lassen Volcanic NP,31023,31023,0,66561,70641,4080
Lava Beds NM,15310,15310,0,35725,34941,-784
LBJ Memorial Grove on the Potomac,22702,22702,0,94994,94994,0
Lewis & Clark NHP,25409,25409,0,79365,84436,5071
Lincoln Boyhood NMEM,11506,12873,1367,22143,24375,2232
Lincoln Home NHS,38705,38705,0,90683,97817,7134
Lincoln Memorial,1076971,1076971,0,3133088,3184608,51520
Little Bighorn Battlefield NM,30372,30372,0,53016,53384,368
Little River Canyon NPRES,33171,33171,0,106892,98718,-8174
Little Rock Central High School NHS,14345,14345,0,60507,57830,-2677
Longfellow NHS,4703,4703,0,9545,9662,117
Lowell NHP,40456,40456,0,119189,138674,19485
Lyndon B. Johnson NHP,10277,10277,0,60694,62979,2285
Maggie L. Walker NHS,672,672,0,3577,4081,504
Mammoth Cave NP,53402,53402,0,161310,177245,15935
Manassas NBP,57218,57218,0,180845,195078,14233
Manzanar NHS,9327,9327,0,34375,39050,4675
Marsh-Billings-Rockefeller NHP,1270,1270,0,7195,5349,-1846
"Martin Luther King, Jr. Memorial",468256,468256,0,1554454,1551797,-2657
"Martin Luther King, Jr. NHS",66205,66205,0,346407,286769,-59638
Martin Van Buren NHS,1290,1290,0,1794,3039,1245
Mary McLeod Bethune Council House NHS,521,521,0,1784,3020,1236
Mesa Verde NP,55079,55079,0,112988,118148,5160
Minute Man NHP,99873,99873,0,293078,329980,36902
Minuteman Missile NHS,4081,4081,0,7890,8702,812
Mississippi NRRA,23005,23005,0,53872,58524,4652
Missouri NRR,10074,10074,0,31994,32115,121
Mojave NPRES,54847,22546,-32301,263887,174198,-89689
Monocacy NB,4449,4449,0,19137,20555,1418
Montezuma Castle NM,43084,43084,0,200068,192524,-7544
Moores Creek NB,7076,7076,0,39691,41833,2142
Morristown NHP,19158,19158,0,83188,72982,-10206
Mount Rainier NP,69225,69225,0,196569,209860,13291
Mount Rushmore NMEM,183101,183101,0,355445,365622,10177
Muir Woods NM,101003,101003,0,390909,388910,-1999
Natchez NHP,19822,20173,351,87813,87937,124
Natchez Trace PKWY,486175,486175,0,2365109,2392748,27639
National Capital Parks Central,262091,262091,0,617793,643971,26178
National Capital Parks East,127099,122775,-4324,431277,417414,-13863
National Park of American Samoa,1982,1982,0,7198,8242,1044
Natural Bridges NM,19749,19749,0,39448,39781,333
Navajo NM,9174,9174,0,23243,23258,15
New Bedford Whaling NHP,14562,14562,0,42190,43107,917
New Orleans Jazz NHP,4649,4649,0,24307,26275,1968
New River Gorge NR,139481,139481,0,312272,341482,29210
Nez Perce NHP,21708,21708,0,85529,75968,-9561
Nicodemus NHS,284,278,-6,1227,981,-246
Ninety Six NHS,9995,9995,0,30101,46364,16263
Niobrara NSR,3339,3339,0,7104,7864,760
North Cascades NP,1410,1410,0,2045,1599,-446
Obed W&SR,19076,19076,0,68032,83057,15025
Ocmulgee NM,10108,10108,0,49860,54107,4247
Olympic NP,280726,280726,0,737085,779702,42617
Oregon Caves NM,7855,7855,0,18246,17445,-801
Organ Pipe Cactus NM,17136,17136,0,112308,124324,12016
Ozark NSR,107219,107219,0,265568,261441,-4127
Padre Island NS,59281,59281,0,212497,240405,27908
Palo Alto Battlefield NHP,3856,3856,0,18844,25557,6713
Pea Ridge NMP,8578,8578,0,29057,36135,7078
Pecos NHP,2971,2971,0,9880,12212,2332
Perry's Victory & Intl. Peace MEM,14323,14323,0,18995,19861,866
Petersburg NB,21137,21137,0,61966,69068,7102
Petrified Forest NP,83711,83711,0,275542,214423,-61119
Petroglyph NM,11586,11586,0,46695,49631,2936
Pictured Rocks NL,33183,34823,1640,83124,87028,3904
Pinnacles NP,22618,22618,0,108718,107321,-1397
Pipe Spring NM,5623,5623,0,19782,15418,-4364
Pipestone NM,9172,9172,0,15725,16186,461
Piscataway Park,16672,16672,0,40681,38017,-2664
Point Reyes NS,206934,206934,0,1027683,949599,-78084
Port Chicago Naval Magazine NM,42,42,0,300,375,75
President W.J. Clinton Birthplace Home NHS,1224,1224,0,3646,4345,699
President's Park,53992,53992,0,246555,323114,76559
Prince William Forest Park,41416,41416,0,111395,128633,17238
Pu'uhonua o Honaunau NHP,37846,37846,0,188807,197361,8554
Pu'ukohola Heiau NHS,11129,11129,0,68907,66531,-2376
Rainbow Bridge NM,12000,12000,0,15300,15393,93
Redwood NP,46980,46980,0,158249,158249,0
Richmond NBP,20459,20459,0,73424,76539,3115
Rio Grande W&SR,8,8,0,47,337,290
River Raisin NBP,7268,7268,0,21960,60314,38354
Rock Creek Park,211473,211473,0,837664,789454,-48210
Rocky Mountain NP,259711,259711,0,695025,745063,50038
Roger Williams NMEM,6609,6609,0,16314,17088,774
Rosie The Riveter WWII Home Front,4291,4291,0,21331,23752,2421
Ross Lake NRA,121815,121815,0,205147,161513,-43634
Russell Cave NM,2250,2250,0,6401,8829,2428
Sagamore Hill NHS,1517,1517,0,4171,13928,9757
Saguaro NP,55800,55800,0,432920,448708,15788
Saint Croix Island International Historic Site,1024,1024,0,1024,1024,0
Saint Croix NSR,35650,35650,0,54223,54223,0
Saint Paul's Church NHS,1920,1920,0,7475,9830,2355
Saint-Gaudens NHS,1892,1892,0,2922,2906,-16
Salem Maritime NHS,17763,17763,0,37564,43239,5675
Salinas Pueblo Missions NM,3071,3071,0,11680,12597,917
Salt River Bay NHP & Ecological Pres,476,628,152,4050,8891,4841
San Antonio Missions NHP,119365,119365,0,515379,536179,20800
San Francisco Maritime NHP,360940,360940,0,1532480,1527775,-4705
San Juan Island NHP,25206,25206,0,87902,115517,27615
San Juan NHS,118705,118705,0,686142,720360,34218
Sand Creek Massacre NHS,689,689,0,1572,1813,241
Santa Monica Mountains NRA,103769,103769,0,356280,356280,0
Saratoga NHP,5922,5922,0,13251,25417,12166
Saugus Iron Works NHS,1325,1325,0,1325,1325,0
Scotts Bluff NM,13437,14748,1311,37714,32254,-5460
Sequoia NP,113812,113812,0,300447,321444,20997
Shenandoah NP,155018,155018,0,298078,341741,43663
Shiloh NMP,74184,74184,0,160511,165680,5169
Sitka NHP,26367,26367,0,49867,54270,4403
Sleeping Bear Dunes NL,74361,100289,25928,140493,178058,37565
Springfield Armory NHS,2238,2238,0,6406,6804,398
Statue of Liberty NM,456962,456962,0,1326728,1434436,107708
Steamtown NHS,7489,7489,0,22412,25782,3370
Stones River NB,30641,30641,0,104756,146172,41416
Sunset Crater Volcano NM,18027,18027,0,72494,36884,-35610
Tallgrass Prairie NPRES,2204,2204,0,5911,7005,1094
Thaddeus Kosciuszko NMEM,291,291,0,441,642,201
Theodore Roosevelt Birthplace NHS,0,0,0,6685,0,-6685
Theodore Roosevelt Inaugural NHS,2113,2113,0,7019,8761,1742
Theodore Roosevelt Island,13774,13774,0,53608,53608,0
Theodore Roosevelt NP,37725,37725,0,68161,69131,970
Thomas Edison NHP,4144,3916,-228,17661,17380,-281
Thomas Jefferson MEM,417621,417621,0,1303615,1609439,305824
Thomas Stone NHS,658,658,0,1582,2974,1392
Timpanogos Cave NM,10131,10131,0,10651,10761,110
Timucuan EHP,100604,124097,23493,497584,436648,-60936
Tonto NM,2622,2622,0,23998,23926,-72
Tumacacori NHP,2948,2948,0,22787,24922,2135
Tuskegee Airmen NHS,2070,2070,0,9949,10063,114
Tuskegee Institute NHS,799,799,0,3935,4388,453
Tuzigoot NM,8577,8577,0,45052,51201,6149
Ulysses S. Grant NHS,6122,5339,-783,13510,16572,3062
Upper Delaware S&RR,23876,23876,0,38555,41904,3349
Valley Forge NHP,218064,218064,0,694553,835821,141268
Vanderbilt Mansion NHS,41395,41395,0,109034,133937,24903
