Title1,Title2
Annual Summary Report ,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Summary%20Report%20(1904%20-%20Last%20Calendar%20Year)

ParkName1,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,RecreationVisitorsYTD2,NonRecreationVisitorsYTD2,RecreationHoursYTD2,NonRecreationHoursYTD2,ConcessionerLodgingYTD2,ConcessionerCampingYTD2,TentCampersYTD2,RVCampersYTD2,BackcountryYTD2,NonRecreationOvernightStaysYTD2,MiscellaneousOvernightStaysYTD2
Ford's Theatre NHS,2015,"681,537","6,638","688,713","13,276",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Bowie NHS,2015,"7,760",0,"15,520",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Caroline NMEM,2015,"224,418",0,"224,418",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Davis NHS,2015,"55,955",355,"111,911",671,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Donelson NB,2015,"260,744","536,819","174,373","17,713",0,0,0,0,0,0,30,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Frederica NM,2015,"202,191","1,800","204,061",444,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Laramie NHS,2015,"51,616",365,"77,423",544,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Larned NHS,2015,"32,170",0,"64,340",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Matanzas NM,2015,"622,175",0,"631,658",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort McHenry NM & HS,2015,"617,890",720,"926,837",360,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Necessity NB,2015,"280,705",120,"407,680",48,0,0,0,0,0,0,404,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Point NHS,2015,"1,610,466",0,"924,368",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Pulaski NM,2015,"382,945","19,476","961,774","4,872",0,0,0,0,0,0,245,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Raleigh NHS,2015,"289,885","1,344","410,041","1,344",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Scott NHS,2015,"25,531",522,"38,294",173,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Smith NHS,2015,"111,469",0,"88,986",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Stanwix NM,2015,"86,678",0,"130,019",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Sumter NM,2015,"840,711",0,"2,006,729",0,0,0,0,0,0,0,2,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Union NM,2015,"11,726",240,"13,836",24,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Union Trading Post NHS,2015,"13,605",862,"15,750",215,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Vancouver NHS,2015,"818,672",0,"1,017,919",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fort Washington Park,2015,"337,433",0,"1,298,874",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fossil Butte NM,2015,"19,293",547,"28,136",384,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Franklin Delano Roosevelt MEM,2015,"3,290,080",0,"1,645,040",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Frederick Douglass NHS,2015,"53,873",0,"53,873",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Frederick Law Olmsted NHS,2015,"9,473",10,"18,946",35,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Fredericksburg & Spotsylvania NMP,2015,"891,917","1,254,312","406,901","148,832",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Friendship Hill NHS,2015,"34,687",0,"82,897",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Gates of the Arctic NP & PRES,2015,"10,745",0,"232,217",0,0,0,0,0,"9,473",0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Gateway NRA,2015,"6,392,565","829,034","17,762,432","1,658,071",0,0,0,0,0,0,"1,531","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Gauley River NRA,2015,"105,374",0,"332,653",0,0,0,"6,447",623,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
General Grant NMEM,2015,"95,526",34,"47,761",15,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
George Rogers Clark NHP,2015,"135,856",0,"182,048",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
George Washington Birthplace NM,2015,"130,952","7,200","401,416","7,200",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
George Washington Carver NM,2015,"37,745",0,"49,067",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
George Washington MEM PKWY,2015,"7,286,463","34,160,836","7,856,739","17,080,421",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Gettysburg NMP,2015,"1,080,185","74,400","4,776,281","12,348",0,0,0,0,0,0,"7,395","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Gila Cliff Dwellings NM,2015,"36,518",0,"54,776",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Glacier Bay NP & PRES,2015,"551,353",273,"7,042,830","88,200","11,238",0,658,0,"6,254","3,675","10,320","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Glacier NP,2015,"2,366,056","18,826","26,988,623","161,884","105,997",0,"113,599","99,846","32,797",0,"1,975","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Glen Canyon NRA,2015,"2,495,093","25,703","42,669,031","308,434","77,429","117,047","5,575","12,169","47,378",0,"1,186,425","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Golden Gate NRA,2015,"14,888,537",0,"23,464,335",0,"58,256",0,"4,935",0,"1,514",0,"6,648","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Golden Spike NHS,2015,"59,147","31,000","140,015","15,500",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Governors Island NM,2015,"438,613",0,"877,226",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Grand Canyon NP,2015,"5,520,736","62,876","87,141,657","62,876","540,000","25,289","207,490","101,227","293,866",0,"32,709","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Grand Portage NM,2015,"91,751",0,"201,794",0,0,0,0,0,57,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Grand Teton NP,2015,"3,149,921","1,497,965","21,758,918","1,497,965","210,538","385,770",0,0,"33,798",0,"1,132","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Grant-Kohrs Ranch NHS,2015,"22,139",0,"27,232",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Great Basin NP,2015,"116,123",695,"1,292,404",347,0,0,"24,014","13,151","1,017",0,"2,519","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Great Sand Dunes NP & PRES,2015,"299,513",470,"1,993,753",470,0,0,"28,734","15,028","3,754",0,"6,262","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Great Smoky Mountains NP,2015,"10,712,674","11,234,780","79,442,309","5,617,391","11,186",0,"172,984","117,177","97,629",0,"26,918","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Greenbelt Park,2015,"135,260",0,"551,567",0,0,0,"7,876","5,719",0,0,250,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Guadalupe Mountains NP,2015,"169,535",0,"438,570",0,0,0,"9,175","4,816","2,507",0,"1,869","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Guilford Courthouse NMP,2015,"222,602","4,414,505","140,308","36,641",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Gulf Islands NS,2015,"3,976,883","91,607","12,474,796","18,853",0,0,"33,061","124,764",0,0,"17,050","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hagerman Fossil Beds NM,2015,"24,695",0,"37,045",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Haleakala NP,2015,"1,216,772","29,088","2,939,484","20,160",0,0,"7,896",0,"2,205",0,"3,982","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hamilton Grange NMEM,2015,"35,446",77,"25,877",46,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hampton NHS,2015,"34,685",600,"52,029",600,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Harpers Ferry NHP,2015,"282,893",0,"1,131,576",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Harry S Truman NHS,2015,"32,825",0,"23,753",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hawaii Volcanoes NP,2015,"1,832,660","1,855,130","11,379,532","612,193","29,694","4,435","1,661",0,"4,903",0,"86,506","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Herbert Hoover NHS,2015,"127,154","18,000","127,154","1,200",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Home of Franklin D. Roosevelt NHS,2015,"180,405",0,"293,518",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Homestead NM of America,2015,"78,739","419,298","132,483","67,087",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hopewell Culture NHP,2015,"43,587",0,"87,173",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hopewell Furnace NHS,2015,"51,252",600,"61,500",300,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Horseshoe Bend NMP,2015,"89,282","971,895","215,027","323,934",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hot Springs NP,2015,"1,418,162","2,243,425","3,310,306","448,684",0,0,"4,735","19,413",0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hovenweep NM,2015,"35,117",300,"127,232",60,0,0,"1,103","1,272",0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Hubbell Trading Post NHS,2015,"66,324","4,584","34,267","1,056",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Independence NHP,2015,"4,311,582",0,"6,548,537",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Indiana Dunes NL,2015,"1,640,195","5,253","4,418,234","2,627",0,0,"14,746","4,089",0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Isle Royale NP,2015,"18,684",142,"1,094,905","12,352","7,072",292,"5,133",0,"30,072",507,900,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
James A. Garfield NHS,2015,"24,506",0,"49,012",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Jean Lafitte NHP & PRES,2015,"405,618","192,000","787,272","91,320",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Jefferson NEM,2015,"1,698,656",0,"6,794,623",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Jewel Cave NM,2015,"116,444",170,"436,424",170,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Jimmy Carter NHS,2015,"67,797",0,"79,077",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
"John D. Rockefeller, Jr. MEM PKWY",2015,"1,430,337","10,800","1,894,211","2,700","11,803","10,825",0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
John Day Fossil Beds NM,2015,"196,277",840,"227,681",84,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
John F. Kennedy NHS,2015,"18,485",0,"9,243",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
John Muir NHS,2015,"42,615",921,"63,921",231,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Johnstown Flood NMEM,2015,"163,431","165,053","173,057","4,952",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Joshua Tree NP,2015,"2,025,756","7,680","14,899,986","7,680",0,0,"222,184","74,952","14,141",0,"74,085","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kalaupapa NHP,2015,"67,891",0,"543,128",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kaloko Honokohau NHP,2015,"170,683",0,"383,399",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Katmai NP & PRES,2015,"37,818",0,"233,289",0,"4,216",0,"2,098",0,483,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kenai Fjords NP,2015,"296,697",0,"936,264",0,0,0,"1,434",0,640,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kennesaw Mountain NBP,2015,"2,174,870","25,404,019","3,303,084","4,064,642",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kings Canyon NP,2015,"468,106","31,756","15,252,100","127,024","47,293",0,"73,622","24,531","10,765",0,"1,871","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kings Mountain NMP,2015,"257,077","248,481","245,570","41,397",0,0,0,0,87,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Klondike Gold Rush NHP Alaska,2015,"919,661",0,"3,717,704",0,0,0,"2,264",0,"4,559",0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Klondike Gold Rush NHP Seattle,2015,"60,372",0,"105,650",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Knife River Indian Villages NHS,2015,"11,377",707,"16,451",353,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Kobuk Valley NP,2015,0,0,0,0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Korean War Veterans Memorial,2015,"4,077,835",0,"2,038,917",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lake Chelan NRA,2015,"32,186",0,"380,278",0,"6,117",0,0,0,"4,802",0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lake Clark NP & PRES,2015,"17,818",0,"83,288",0,0,0,0,0,"2,166",0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lake Mead NRA,2015,"7,298,465","264,711","55,292,267","1,588,266","21,162","47,643","110,311","140,395","152,007","80,845","58,689","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lake Meredith NRA,2015,"831,374",0,"2,344,327",0,0,0,"5,431","24,657",0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lake Roosevelt NRA,2015,"1,170,843","1,200","4,073,072",600,"4,950","1,731","44,359","46,267","3,101",0,"9,810","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lassen Volcanic NP,2015,"468,092",0,"5,590,719",0,"6,209",0,"73,794","28,422","9,170",0,"14,889","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lava Beds NM,2015,"108,687",771,"399,038",381,0,0,"7,594","1,531",0,0,"1,485","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
LBJ Memorial Grove on the Potomac,2015,"232,882",0,"116,441",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lewis & Clark NHP,2015,"270,410",109,"407,859",26,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lincoln Boyhood NMEM,2015,"111,711","16,200","125,676","2,700",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lincoln Home NHS,2015,"233,299","7,828","208,987","60,400",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lincoln Memorial,2015,"7,941,771",0,"3,970,885",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Little Bighorn Battlefield NM,2015,"317,782","2,715","317,939","1,360",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Little River Canyon NPRES,2015,"248,135",0,"271,004",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Little Rock Central High School NHS,2015,"125,956",0,"125,956",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Longfellow NHS,2015,"50,784",0,"76,176",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lowell NHP,2015,"531,055","4,230","808,403","6,345",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Lyndon B. Johnson NHP,2015,"124,979",0,"209,546",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Maggie L. Walker NHS,2015,"7,589",0,"11,381",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Mammoth Cave NP,2015,"566,895","147,471","3,481,105","73,736","30,416",0,"33,380","11,592","5,036",0,"2,215","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Manassas NBP,2015,"502,045",480,"376,533",84,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
